Is reference?,Flow,Category,Amount,Unit,Costs/Revenues,Currency,Uncertainty,(G)Mean | Mode,SD | GSD,Minimum,Maximum,Is avoided?,Provider,Data quality entry,Location,Description,Source_File,Contribution Category
,"activated carbon, granular",C:Manufacturing/20:Manufacture of chemicals and chemical products/202:Manufacture of other chemical products/2029:Manufacture of other chemical products n.e.c.,6.27e-09,kg,,,,,,,,,"market for activated carbon, granular | activated carbon, granular | Cutoff, U",,Global,Dessicant. Activated carbon (molecular sieve),hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Gas
,"aluminium oxide, metallurgical",C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,4.89e-07,kg,,,,,,,,,"market for aluminium oxide, metallurgical | aluminium oxide, metallurgical | Cutoff, U",,Rest-of-World,Catalyst- Pd-Alumina,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Materials
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",0.583396,kWh,,,,,,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,"Canada, Québec",Electricity demand for hydrogen compression,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Water Supply
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",49.735338,kWh,,,,,,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,"Canada, Québec",Electricity demand for electrolyser block,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Electricity
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",0.110276,kWh,,,,,,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,"Canada, Québec","Pumps, air fan, dryers, cooler",hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Materials
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",0.013972,kWh,,,,,,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,"Canada, Québec",Reverse osmosis power consumption,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Water Supply
,palladium,C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,2.506e-08,kg,,,,,,,,,"market for palladium | palladium | Cutoff, U",,Global,Catalyst- Pd-Alumina,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Electricity
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",12.868421,kg,,,,,,,,,"market for water, deionised | water, deionised | Cutoff, U",,Rest-of-World,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Materials
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",2.537,kWh,,,log-normal,1.31,1.31733,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",(3; 5; 4; 3; 1),"Canada, Alberta",,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Water Supply
,"natural gas, high pressure",B:Mining and quarrying/06:Extraction of crude petroleum and natural gas/062:Extraction of natural gas/0620:Extraction of natural gas,4.58856,m3,,,log-normal,3.93,1.20318,,,,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U",(4; 1; 2; 2; 1),Canada,"Natural gas of Alberta with the density of 0.717 kg/m3 and the higher heating value (HHV) of 38.84 MJ/m3 was considered for both feedstock and fuel. The composition of natural gas is assumed to be that reported by Enbridge. The HHV of 38.84 MJ/m3 represents the average of the monthly HHV values reported by Enbridge in 2021._x000D_
_x000D_
3.290 kg","hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Electricity
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",2.098,kg,,,log-normal,5.09,1.3173282737856964,,,,,(3;5;4;3;1),nan,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Materials
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",2.4,kWh,,,log-normal,1.31,1.31733,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,"Canada, Alberta",,hydrogen_autothermal_reforming_of_natural_gas_with,
,"natural gas, high pressure",B:Mining and quarrying/06:Extraction of crude petroleum and natural gas/062:Extraction of natural gas/0620:Extraction of natural gas,4.902,m3,,,log-normal,3.93,1.20318,,,,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U",,Canada,"Natural gas of Alberta with the density of 0.717 kg/m3 and the higher heating value (HHV) of 38.84 MJ/m3 was considered for both feedstock and fuel. The composition of natural gas is assumed to be that reported by Enbridge. The HHV of 38.84 MJ/m3 represents the average of the monthly HHV values reported by Enbridge in 2021.

",hydrogen_autothermal_reforming_of_natural_gas_with,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",1.894,kg,,,log-normal,5.09,1.3173282737856964,,,,"market for water, deionised | water, deionised | Cutoff, U",,Rest-of-World,,hydrogen_autothermal_reforming_of_natural_gas_with,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",54.211,kWh,,,,,,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,"Canada, Québec",Consumption of electrolyzer stack and inverter,hydrogen_pem_electrolysis_at_plant_99_9_62_3_bar,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",1.056,kWh,,,,,,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,"Canada, Québec",Consumption of BoP (including compression),hydrogen_pem_electrolysis_at_plant_99_9_62_3_bar,
,"water, deionised","E:Water supply; sewerage, waste management and remediation activities/36:Water collection, treatment and supply/360:Water collection, treatment and supply/3600:Water collection, treatment and supply",9.066,kg,,,,,,,,,"market for water, deionised | water, deionised | Cutoff, U",,Rest-of-World,,hydrogen_pem_electrolysis_at_plant_99_9_62_3_bar,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",25.114,kWh,,,,,,,,,"market for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,"Canada, Alberta",Use if grid electricity is used in process,hydrogen_plasma_pyrolysis_of_natural_gas_at_plant_,
,"natural gas, high pressure",B:Mining and quarrying/06:Extraction of crude petroleum and natural gas/062:Extraction of natural gas/0620:Extraction of natural gas,4.104,m3,,,,,,,,,"market for natural gas, high pressure | natural gas, high pressure | Cutoff, U",,Canada,,hydrogen_plasma_pyrolysis_of_natural_gas_at_plant_,
,acrylic acid,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",2.445e-05,kg,,,,,,,,,"market for acrylic acid | acrylic acid | Cutoff, U",,Rest-of-World,Proxy for antiscalants,hydrogen_soec_electrolysis_with_electric_boiler_op,
,"chlorine, liquid","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",1.935e-05,kg,,,,,,,,,"market for chlorine, liquid | chlorine, liquid | Cutoff, U",,Rest-of-World,,hydrogen_soec_electrolysis_with_electric_boiler_op,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",12.98237335,kWh,,,,,,,,,"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,Canada,Electricity consumption of BoP,hydrogen_soec_electrolysis_with_electric_boiler_op,
,"electricity, medium voltage","D:Electricity, gas, steam and air conditioning supply/35:Electricity, gas, steam and air conditioning supply/351:Electric power generation, transmission and distribution/3510:Electric power generation, transmission and distribution",48.36193258,kWh,,,,,,,,,"market group for electricity, medium voltage | electricity, medium voltage | Cutoff, U",,Canada,Electricity consumptio of electrolyzer and inverter,hydrogen_soec_electrolysis_with_electric_boiler_op,
,"sodium hydroxide, without water, in 50% solution state","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",1.38e-05,kg,,,,,,,,,"market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | Cutoff, U",,Rest-of-World,Caustic Soda,hydrogen_soec_electrolysis_with_electric_boiler_op,
,sulfuric acid,C:Manufacturing/24:Manufacture of basic metals/242:Manufacture of basic precious and other non-ferrous metals/2420:Manufacture of basic precious and other non-ferrous metals,0.0001212,kg,,,,,,,,,"market for sulfuric acid | sulfuric acid | Cutoff, U",,Rest-of-World,,hydrogen_soec_electrolysis_with_electric_boiler_op,
